Z;Unit;Year;Hydrocarbon;Sector;Production source;Reason;Value
Australia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;320.869
Australia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Australia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;8.006.666.666.666.660
Australia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;224.003
Australia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;87.758
Australia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;8.960.133.333.333.330
Australia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.1617746666666666
Australia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.9487133333333334
Australia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;86.591
Australia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;4.576.666.666.666.660
Australia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;3.463.633.333.333.330
Australia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Australia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Australia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Australia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Australia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Azerbaijan;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0265371333333333
Azerbaijan;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Azerbaijan;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0662183333333333
Azerbaijan;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;8.227.533.333.333.330
Azerbaijan;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;12.994.366.666.666.600
Azerbaijan;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;29.485.366.666.666.600
Azerbaijan;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Azerbaijan;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;73.575
Azerbaijan;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Azerbaijan;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Azerbaijan;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Azerbaijan;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;16.751
Azerbaijan;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;11.746.366.666.666.600
Azerbaijan;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;67.004
Azerbaijan;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0307414999999999
Azerbaijan;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.180281
Azerbaijan;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;41.236.666.666.666.600
Azerbaijan;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;7.682.033.333.333.330
Azerbaijan;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;164.946
Azerbaijan;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Azerbaijan;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Azerbaijan;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Azerbaijan;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Azerbaijan;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Bahrain;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;17.499.666.666.666.600
Bahrain;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Bahrain;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;43.667
Bahrain;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;7.726.733.333.333.330
Bahrain;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;12.203.466.666.666.600
Bahrain;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Bahrain;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Bahrain;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Bahrain;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Bahrain;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Bahrain;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Bahrain;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;12.862.866.666.666.600
Bahrain;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;8.842.966.666.666.660
Bahrain;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;5.145.166.666.666.660
Bahrain;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.009968
Bahrain;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0584566666666666
Bahrain;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Bahrain;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Bahrain;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Bahrain;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Bahrain;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Bahrain;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Bahrain;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Bahrain;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Bangladesh;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;27.815.033.333.333.300
Bangladesh;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Bangladesh;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;69.407
Bangladesh;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;235.811
Bangladesh;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;3.724.333.333.333.330
Bangladesh;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Bangladesh;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Bangladesh;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Bangladesh;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Bangladesh;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Bangladesh;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Bangladesh;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.7870833333333334
Bangladesh;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.8536233333333333
Bangladesh;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;3.148.336.666.666.660
Bangladesh;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0568833333333333
Bangladesh;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.3335866666666666
Bangladesh;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Bangladesh;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Bangladesh;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Bangladesh;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Bangladesh;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Bangladesh;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Bangladesh;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Bangladesh;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Benin;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
Benin;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Benin;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
Benin;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.034136
Benin;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;0.0539133333333333
Benin;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Benin;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Benin;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Benin;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Benin;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Benin;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Benin;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.0
Benin;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0
Benin;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;0.0
Benin;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0167440999999999
Benin;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0981943333333333
Benin;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Benin;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Benin;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Benin;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Benin;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Benin;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Benin;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Benin;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Bolivia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;21.904.066.666.666.600
Bolivia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Bolivia;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;5.465.733.333.333.330
Bolivia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;4.093.500.000.000.000
Bolivia;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;6.465.166.666.666.660
Bolivia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Bolivia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Bolivia;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Bolivia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Bolivia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Bolivia;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Bolivia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;5.263.199.999.999.990
Bolivia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;149.599
Bolivia;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;21.052.766.666.666.600
Bolivia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.041454
Bolivia;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.243103
Bolivia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Bolivia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Bolivia;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
Bolivia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Fugitive;0.0
Bolivia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Incomplete-flare;0.0
Bolivia;Thousand tonnes;2023;Oil;Unconventional;Unconventional oil;Vented;0.0
Bolivia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - downstream;Satellite - downstream;Fugitive;0.0
Bolivia;Thousand tonnes;2023;Satellite-detected large emitters;Satellite - upstream;Satellite - upstream;Fugitive;0.0
Botswana;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Fugitive;0.0
Botswana;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Incomplete-flare;0.0
Botswana;Thousand tonnes;2023;Gas;Conventional;Onshore conventional gas;Vented;0.0
Botswana;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Fugitive;0.0
Botswana;Thousand tonnes;2023;Gas;Downstream;Downstream gas;Vented;0.0
Botswana;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Fugitive;0.0
Botswana;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Incomplete-flare;0.0
Botswana;Thousand tonnes;2023;Gas;Offshore;Offshore gas;Vented;0.0
Botswana;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Fugitive;0.0
Botswana;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Incomplete-flare;0.0
Botswana;Thousand tonnes;2023;Gas;Unconventional;Unconventional gas;Vented;0.0
Botswana;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Fugitive;0.0
Botswana;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Incomplete-flare;0.0
Botswana;Thousand tonnes;2023;Oil;Conventional;Onshore conventional oil;Vented;0.0
Botswana;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Fugitive;0.0046149999999999
Botswana;Thousand tonnes;2023;Oil;Downstream;Downstream oil;Vented;0.0270642
Botswana;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Fugitive;0.0
Botswana;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Incomplete-flare;0.0
Botswana;Thousand tonnes;2023;Oil;Offshore;Offshore oil;Vented;0.0
